^SAMPLE = GSM1017477
!Sample_title = HS68_8c
!Sample_geo_accession = GSM1017477
!Sample_status = Public on Oct 10 2012
!Sample_submission_date = Oct 10 2012
!Sample_last_update_date = Oct 10 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Hs68
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: male
!Sample_characteristics_ch1 = organ: Skin
!Sample_characteristics_ch1 = disease: non-tumorigenic; aspartoacylase deficiency; possible Canavan disease
!Sample_characteristics_ch1 = morphology: fibroblast
!Sample_characteristics_ch1 = is_metastasis: no
!Sample_characteristics_ch1 = metastatic_site: n/a
!Sample_characteristics_ch1 = in_vivo_growth: not tested
!Sample_characteristics_ch1 = cell line: Hs68
!Sample_characteristics_ch1 = atcc_number: CRL-1635
!Sample_treatment_protocol_ch1 = Cell lines were not treated.
!Sample_growth_protocol_ch1 = Cell lines were obtained from ATCC and DSMZ and cultivated in appropriate media according to supplier recommendations. Isolation of total RNA was performed after 72h growth using Qiagen
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 3 ug total RNA (Expression Analysis Technical Manual, 2006, Affymetrix).
!Sample_hyb_protocol = 15 ug of cleaned cRNA is fragmented and then hybridized for 16 hr at 45°C on GeneChip U133 Plus 2.0 probe array. GeneChips were washed and stained in the Affymetrix GeneChip Fluidics Station 450
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneChip Scanner 3000. Scanning parameters: pixel size: 1.56 μm, wavelength: 570 nm.
!Sample_description = gene expression profiling of 21 cell lines
!Sample_description = Hs68, replicate 3
!Sample_data_processing = Signal intensities were extracted with Affymetrix GeneChip Operating software (GCOS, version 1.4.0.036; Instrument control version: 6.0.1.002).
!Sample_data_processing = Expression values for all .CEL files were computed using MAS5.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Philip,,Groth
!Sample_contact_email = philip.groth@bayer.com
!Sample_contact_laboratory = Chromatin Modulation and OncoGenomics
!Sample_contact_department = Therapeutic Research Group Oncology
!Sample_contact_institute = Bayer Pharma AG
!Sample_contact_address = Muellerstr. 178
!Sample_contact_city = Berlin
!Sample_contact_zip/postal_code = 13353
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1017nnn/GSM1017477/suppl/GSM1017477_mRNA_8c_061206.CEL.gz
!Sample_series_id = GSE41445
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	DETECTION P-VALUE
AFFX-BioB-5_at	10460.37	7.54E-04
AFFX-BioB-M_at	15201.83	7.01E-05
AFFX-BioB-3_at	7753.51	2.25E-04
AFFX-BioC-5_at	27225.09	6.02E-05
AFFX-BioC-3_at	34580.63	5.17E-05
AFFX-BioDn-5_at	62198.44	4.43E-05
AFFX-BioDn-3_at	155397.45	1.95E-04
AFFX-CreX-5_at	387970.53	4.43E-05
AFFX-CreX-3_at	473745.12	4.43E-05
AFFX-DapX-5_at	17864.88	7.01E-05
AFFX-DapX-M_at	34759.05	6.62E-04
AFFX-DapX-3_at	39208.59	5.17E-05
AFFX-LysX-5_at	1595.03	3.66E-02
AFFX-LysX-M_at	3408.17	2.61E-02
AFFX-LysX-3_at	5464.51	1.47E-04
AFFX-PheX-5_at	4022.69	6.02E-05
AFFX-PheX-M_at	4094.77	3.59E-03
AFFX-PheX-3_at	3664.92	1.27E-04
AFFX-ThrX-5_at	4078.23	2.97E-04
AFFX-ThrX-M_at	5659.70	1.69E-04
AFFX-ThrX-3_at	10007.02	1.69E-04
AFFX-TrpnX-5_at	342.03	4.26E-01
AFFX-TrpnX-M_at	71.08	9.57E-01
AFFX-TrpnX-3_at	88.25	7.37E-01
AFFX-r2-Ec-bioB-5_at	12627.74	2.44E-04
AFFX-r2-Ec-bioB-M_at	15100.55	2.44E-04
AFFX-r2-Ec-bioB-3_at	12800.90	2.44E-04
AFFX-r2-Ec-bioC-5_at	46332.61	2.44E-04
AFFX-r2-Ec-bioC-3_at	57065.96	2.44E-04
AFFX-r2-Ec-bioD-5_at	165876.36	2.44E-04
AFFX-r2-Ec-bioD-3_at	227828.53	2.44E-04
AFFX-r2-P1-cre-5_at	663611.44	2.44E-04
AFFX-r2-P1-cre-3_at	872920.00	2.44E-04
AFFX-r2-Bs-dap-5_at	22397.22	2.44E-04
AFFX-r2-Bs-dap-M_at	32072.97	2.44E-04
AFFX-r2-Bs-dap-3_at	50054.07	2.44E-04
AFFX-r2-Bs-lys-5_at	3480.48	2.44E-04
AFFX-r2-Bs-lys-M_at	2866.50	2.44E-04
AFFX-r2-Bs-lys-3_at	4682.58	2.44E-04
AFFX-r2-Bs-phe-5_at	3492.38	2.44E-04
AFFX-r2-Bs-phe-M_at	3857.19	2.44E-04
AFFX-r2-Bs-phe-3_at	9027.75	2.44E-04
AFFX-r2-Bs-thr-3_s_at	13134.43	2.44E-04
AFFX-r2-Bs-thr-M_s_at	11905.63	4.15E-03
AFFX-r2-Bs-thr-5_s_at	5822.42	2.44E-04
AFFX-HUMISGF3A/M97935_5_at	10091.59	1.69E-04
AFFX-HUMISGF3A/M97935_MA_at	23313.19	2.58E-04
AFFX-HUMISGF3A/M97935_MB_at	15145.43	4.43E-05
AFFX-HUMISGF3A/M97935_3_at	39229.44	4.43E-05
AFFX-HUMRGE/M10098_5_at	951629.70	4.43E-05
AFFX-HUMRGE/M10098_M_at	169678.70	4.43E-05
AFFX-HUMRGE/M10098_3_at	59816.44	4.43E-05
AFFX-HUMGAPDH/M33197_5_at	743053.44	4.43E-05
AFFX-HUMGAPDH/M33197_M_at	806553.44	4.43E-05
AFFX-HUMGAPDH/M33197_3_at	688407.40	4.43E-05
AFFX-HSAC07/X00351_5_at	783440.10	4.43E-05
AFFX-HSAC07/X00351_M_at	844032.06	4.43E-05
AFFX-HSAC07/X00351_3_at	788459.60	4.43E-05
AFFX-M27830_5_at	26647.11	4.43E-05
AFFX-M27830_M_at	92049.23	1.80E-03
AFFX-M27830_3_at	686.13	5.89E-01
AFFX-hum_alu_at	944085.44	2.61E-13
1007_s_at	31884.15	1.14E-03
1053_at	3763.17	1.60E-03
117_at	848.25	2.51E-01
121_at	13911.86	9.99E-03
1255_g_at	254.27	3.98E-01
1294_at	9876.98	1.60E-03
1316_at	1746.17	4.40E-02
1320_at	3341.03	3.13E-02
1405_i_at	288.79	5.87E-01
1431_at	1404.54	1.14E-02
1438_at	5122.57	9.99E-03
1487_at	6546.05	5.45E-02
1494_f_at	3278.98	6.04E-02
1598_g_at	260121.42	2.19E-04
160020_at	32110.67	1.35E-03
1729_at	12199.67	8.05E-04
1773_at	6570.89	1.31E-02
177_at	2072.51	4.86E-03
179_at	9745.85	8.13E-02
1861_at	8798.02	2.23E-03
200000_s_at	35986.59	2.44E-04
200001_at	184190.33	2.44E-04
200002_at	441666.25	2.44E-04
200003_s_at	1002925.94	2.44E-04
200004_at	324952.90	2.44E-04
200005_at	139556.70	2.44E-04
200006_at	327955.16	2.44E-04
200007_at	273138.28	2.44E-04
200008_s_at	91391.70	2.44E-04
200009_at	177264.23	2.44E-04
200010_at	603275.20	2.44E-04
