^SAMPLE = GSM1017506
!Sample_title = SKOV3_18b
!Sample_geo_accession = GSM1017506
!Sample_status = Public on Oct 10 2012
!Sample_submission_date = Oct 10 2012
!Sample_last_update_date = Oct 10 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = SK-OV-3
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: female
!Sample_characteristics_ch1 = organ: Ovary
!Sample_characteristics_ch1 = disease: adenocarcinoma
!Sample_characteristics_ch1 = morphology: epithelial
!Sample_characteristics_ch1 = is_metastasis: yes
!Sample_characteristics_ch1 = metastatic_site: ascites
!Sample_characteristics_ch1 = in_vivo_growth: yes
!Sample_characteristics_ch1 = cell line: SK-OV-3
!Sample_characteristics_ch1 = atcc_number: HTB-77
!Sample_treatment_protocol_ch1 = Cell lines were not treated.
!Sample_growth_protocol_ch1 = Cell lines were obtained from ATCC and DSMZ and cultivated in appropriate media according to supplier recommendations. Isolation of total RNA was performed after 72h growth using Qiagen
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 3 ug total RNA (Expression Analysis Technical Manual, 2006, Affymetrix).
!Sample_hyb_protocol = 15 ug of cleaned cRNA is fragmented and then hybridized for 16 hr at 45°C on GeneChip U133 Plus 2.0 probe array. GeneChips were washed and stained in the Affymetrix GeneChip Fluidics Station 450
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneChip Scanner 3000. Scanning parameters: pixel size: 1.56 μm, wavelength: 570 nm.
!Sample_description = gene expression profiling of 21 cell lines
!Sample_description = SK-OV-3, replicate 2
!Sample_data_processing = Signal intensities were extracted with Affymetrix GeneChip Operating software (GCOS, version 1.4.0.036; Instrument control version: 6.0.1.002).
!Sample_data_processing = Expression values for all .CEL files were computed using MAS5.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Philip,,Groth
!Sample_contact_email = philip.groth@bayer.com
!Sample_contact_laboratory = Chromatin Modulation and OncoGenomics
!Sample_contact_department = Therapeutic Research Group Oncology
!Sample_contact_institute = Bayer Pharma AG
!Sample_contact_address = Muellerstr. 178
!Sample_contact_city = Berlin
!Sample_contact_zip/postal_code = 13353
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1017nnn/GSM1017506/suppl/GSM1017506_mRNA_18b_170107.CEL.gz
!Sample_series_id = GSE41445
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	DETECTION P-VALUE
AFFX-BioB-5_at	10297.55	6.62E-04
AFFX-BioB-M_at	10875.67	4.43E-05
AFFX-BioB-3_at	8410.66	5.17E-05
AFFX-BioC-5_at	26839.52	5.17E-05
AFFX-BioC-3_at	36703.15	4.43E-05
AFFX-BioDn-5_at	60822.80	4.43E-05
AFFX-BioDn-3_at	135239.02	7.01E-05
AFFX-CreX-5_at	383814.90	5.17E-05
AFFX-CreX-3_at	434627.80	4.43E-05
AFFX-DapX-5_at	14082.26	4.43E-05
AFFX-DapX-M_at	30780.42	2.97E-04
AFFX-DapX-3_at	30094.79	4.43E-05
AFFX-LysX-5_at	2315.38	1.69E-04
AFFX-LysX-M_at	2419.87	5.00E-03
AFFX-LysX-3_at	6442.75	4.43E-05
AFFX-PheX-5_at	3219.23	5.17E-05
AFFX-PheX-M_at	4048.47	1.95E-04
AFFX-PheX-3_at	2783.33	8.57E-04
AFFX-ThrX-5_at	2654.35	3.90E-04
AFFX-ThrX-M_at	4351.70	5.17E-05
AFFX-ThrX-3_at	8611.07	5.17E-05
AFFX-TrpnX-5_at	263.71	1.66E-01
AFFX-TrpnX-M_at	32.10	9.46E-01
AFFX-TrpnX-3_at	373.06	1.39E-01
AFFX-r2-Ec-bioB-5_at	14281.02	2.44E-04
AFFX-r2-Ec-bioB-M_at	16056.07	2.44E-04
AFFX-r2-Ec-bioB-3_at	12278.97	2.44E-04
AFFX-r2-Ec-bioC-5_at	37868.98	2.44E-04
AFFX-r2-Ec-bioC-3_at	42042.58	2.44E-04
AFFX-r2-Ec-bioD-5_at	143736.50	2.44E-04
AFFX-r2-Ec-bioD-3_at	187448.70	2.44E-04
AFFX-r2-P1-cre-5_at	488204.90	2.44E-04
AFFX-r2-P1-cre-3_at	707089.00	2.44E-04
AFFX-r2-Bs-dap-5_at	14748.51	2.44E-04
AFFX-r2-Bs-dap-M_at	34440.07	2.44E-04
AFFX-r2-Bs-dap-3_at	43893.67	2.44E-04
AFFX-r2-Bs-lys-5_at	2946.82	2.44E-04
AFFX-r2-Bs-lys-M_at	2387.32	2.44E-04
AFFX-r2-Bs-lys-3_at	4725.84	2.44E-04
AFFX-r2-Bs-phe-5_at	4328.25	2.44E-04
AFFX-r2-Bs-phe-M_at	4719.72	2.44E-04
AFFX-r2-Bs-phe-3_at	7074.01	2.44E-04
AFFX-r2-Bs-thr-3_s_at	14019.05	1.22E-03
AFFX-r2-Bs-thr-M_s_at	7411.00	1.95E-03
AFFX-r2-Bs-thr-5_s_at	4244.01	2.44E-04
AFFX-HUMISGF3A/M97935_5_at	8914.96	2.97E-04
AFFX-HUMISGF3A/M97935_MA_at	17007.40	7.01E-05
AFFX-HUMISGF3A/M97935_MB_at	15213.08	4.43E-05
AFFX-HUMISGF3A/M97935_3_at	45992.82	4.43E-05
AFFX-HUMRGE/M10098_5_at	189223.88	4.43E-05
AFFX-HUMRGE/M10098_M_at	125511.13	4.43E-05
AFFX-HUMRGE/M10098_3_at	44165.73	5.17E-05
AFFX-HUMGAPDH/M33197_5_at	522704.60	4.43E-05
AFFX-HUMGAPDH/M33197_M_at	522030.47	4.43E-05
AFFX-HUMGAPDH/M33197_3_at	530949.75	4.43E-05
AFFX-HSAC07/X00351_5_at	364174.50	4.43E-05
AFFX-HSAC07/X00351_M_at	471061.72	4.43E-05
AFFX-HSAC07/X00351_3_at	496738.34	4.43E-05
AFFX-M27830_5_at	41435.12	4.43E-05
AFFX-M27830_M_at	74750.08	1.59E-03
AFFX-M27830_3_at	984.43	3.83E-01
AFFX-hum_alu_at	725955.40	2.61E-13
1007_s_at	16470.40	1.60E-03
1053_at	22461.77	2.19E-04
117_at	1088.03	3.94E-02
121_at	61125.68	2.66E-04
1255_g_at	255.57	3.98E-01
1294_at	773.64	2.19E-01
1316_at	1976.08	1.60E-03
1320_at	2524.33	2.47E-02
1405_i_at	54.79	8.35E-01
1431_at	629.74	1.14E-02
1438_at	468.53	5.00E-01
1487_at	7622.67	2.19E-02
1494_f_at	1726.76	1.28E-01
1598_g_at	16068.08	1.60E-03
160020_at	1327.73	5.45E-02
1729_at	6238.79	4.68E-04
1773_at	7233.71	6.53E-03
177_at	938.88	9.59E-04
179_at	12601.21	3.52E-02
1861_at	9239.08	3.22E-04
200000_s_at	25416.03	2.44E-04
200001_at	185198.11	7.32E-04
200002_at	407375.12	2.44E-04
200003_s_at	566768.80	2.44E-04
200004_at	400589.40	2.44E-04
