^SAMPLE = GSM1017461
!Sample_title = CACO2_3b
!Sample_geo_accession = GSM1017461
!Sample_status = Public on Oct 10 2012
!Sample_submission_date = Oct 10 2012
!Sample_last_update_date = Oct 10 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Caco-2
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: male
!Sample_characteristics_ch1 = organ: Colon
!Sample_characteristics_ch1 = disease: colorectal adenocarcinoma
!Sample_characteristics_ch1 = morphology: epithelial
!Sample_characteristics_ch1 = is_metastasis: no
!Sample_characteristics_ch1 = metastatic_site: n/a
!Sample_characteristics_ch1 = in_vivo_growth: not tested
!Sample_characteristics_ch1 = cell line: Caco-2
!Sample_characteristics_ch1 = atcc_number: HTB-37
!Sample_treatment_protocol_ch1 = Cell lines were not treated.
!Sample_growth_protocol_ch1 = Cell lines were obtained from ATCC and DSMZ and cultivated in appropriate media according to supplier recommendations. Isolation of total RNA was performed after 72h growth using Qiagen
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 3 ug total RNA (Expression Analysis Technical Manual, 2006, Affymetrix).
!Sample_hyb_protocol = 15 ug of cleaned cRNA is fragmented and then hybridized for 16 hr at 45°C on GeneChip U133 Plus 2.0 probe array. GeneChips were washed and stained in the Affymetrix GeneChip Fluidics Station 450
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneChip Scanner 3000. Scanning parameters: pixel size: 1.56 μm, wavelength: 570 nm.
!Sample_description = gene expression profiling of 21 cell lines
!Sample_description = Caco-2, replicate 2
!Sample_data_processing = Signal intensities were extracted with Affymetrix GeneChip Operating software (GCOS, version 1.4.0.036; Instrument control version: 6.0.1.002).
!Sample_data_processing = Expression values for all .CEL files were computed using MAS5.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Philip,,Groth
!Sample_contact_email = philip.groth@bayer.com
!Sample_contact_laboratory = Chromatin Modulation and OncoGenomics
!Sample_contact_department = Therapeutic Research Group Oncology
!Sample_contact_institute = Bayer Pharma AG
!Sample_contact_address = Muellerstr. 178
!Sample_contact_city = Berlin
!Sample_contact_zip/postal_code = 13353
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1017nnn/GSM1017461/suppl/GSM1017461_mRNA_3b_281106.CEL.gz
!Sample_series_id = GSE41445
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	DETECTION P-VALUE
AFFX-BioB-5_at	8631.43	7.54E-04
AFFX-BioB-M_at	11871.28	1.10E-04
AFFX-BioB-3_at	7542.78	1.27E-04
AFFX-BioC-5_at	24421.06	5.17E-05
AFFX-BioC-3_at	33325.25	5.17E-05
AFFX-BioDn-5_at	54885.91	4.43E-05
AFFX-BioDn-3_at	131677.84	9.45E-05
AFFX-CreX-5_at	318297.10	5.17E-05
AFFX-CreX-3_at	394129.16	4.43E-05
AFFX-DapX-5_at	1244.68	1.47E-04
AFFX-DapX-M_at	2926.21	7.62E-03
AFFX-DapX-3_at	3903.69	6.62E-04
AFFX-LysX-5_at	83.26	6.86E-01
AFFX-LysX-M_at	87.07	8.98E-01
AFFX-LysX-3_at	846.36	3.40E-04
AFFX-PheX-5_at	50.38	8.91E-01
AFFX-PheX-M_at	132.82	6.73E-01
AFFX-PheX-3_at	940.85	7.27E-02
AFFX-ThrX-5_at	602.61	5.15E-01
AFFX-ThrX-M_at	768.05	1.16E-01
AFFX-ThrX-3_at	626.26	2.63E-01
AFFX-TrpnX-5_at	399.52	1.48E-01
AFFX-TrpnX-M_at	38.32	9.95E-01
AFFX-TrpnX-3_at	57.77	6.99E-01
AFFX-r2-Ec-bioB-5_at	12697.44	2.44E-04
AFFX-r2-Ec-bioB-M_at	14118.92	2.44E-04
AFFX-r2-Ec-bioB-3_at	10871.42	2.44E-04
AFFX-r2-Ec-bioC-5_at	33737.41	2.44E-04
AFFX-r2-Ec-bioC-3_at	40369.71	2.44E-04
AFFX-r2-Ec-bioD-5_at	152676.20	2.44E-04
AFFX-r2-Ec-bioD-3_at	182372.98	2.44E-04
AFFX-r2-P1-cre-5_at	473882.20	2.44E-04
AFFX-r2-P1-cre-3_at	638894.75	2.44E-04
AFFX-r2-Bs-dap-5_at	1267.04	3.03E-02
AFFX-r2-Bs-dap-M_at	3036.43	7.32E-04
AFFX-r2-Bs-dap-3_at	3825.55	2.44E-04
AFFX-r2-Bs-lys-5_at	43.29	6.96E-01
AFFX-r2-Bs-lys-M_at	225.04	3.04E-01
AFFX-r2-Bs-lys-3_at	469.85	1.86E-02
AFFX-r2-Bs-phe-5_at	443.84	1.30E-01
AFFX-r2-Bs-phe-M_at	619.91	2.19E-01
AFFX-r2-Bs-phe-3_at	1878.40	4.15E-03
AFFX-r2-Bs-thr-3_s_at	857.00	5.68E-01
AFFX-r2-Bs-thr-M_s_at	1438.38	8.06E-02
AFFX-r2-Bs-thr-5_s_at	1559.75	5.86E-03
AFFX-HUMISGF3A/M97935_5_at	7917.60	4.46E-04
AFFX-HUMISGF3A/M97935_MA_at	20327.23	1.27E-04
AFFX-HUMISGF3A/M97935_MB_at	19046.49	4.43E-05
AFFX-HUMISGF3A/M97935_3_at	87079.81	4.43E-05
AFFX-HUMRGE/M10098_5_at	137702.61	4.43E-05
AFFX-HUMRGE/M10098_M_at	49983.20	5.17E-05
AFFX-HUMRGE/M10098_3_at	22601.03	9.45E-05
AFFX-HUMGAPDH/M33197_5_at	586878.25	4.43E-05
AFFX-HUMGAPDH/M33197_M_at	573881.20	4.43E-05
AFFX-HUMGAPDH/M33197_3_at	638402.50	4.43E-05
AFFX-HSAC07/X00351_5_at	332903.00	4.43E-05
AFFX-HSAC07/X00351_M_at	395009.80	4.43E-05
AFFX-HSAC07/X00351_3_at	515722.22	4.43E-05
AFFX-M27830_5_at	40854.14	4.43E-05
AFFX-M27830_M_at	66610.54	1.59E-03
AFFX-M27830_3_at	1643.37	4.11E-01
AFFX-hum_alu_at	829926.94	2.61E-13
1007_s_at	57461.90	6.73E-04
1053_at	22832.27	2.19E-04
117_at	103.99	7.96E-01
121_at	16857.40	1.60E-03
1255_g_at	369.67	2.04E-01
1294_at	1518.15	2.67E-01
1316_at	1647.83	7.54E-03
1320_at	1060.98	3.59E-01
1405_i_at	88.43	8.19E-01
1431_at	341.67	2.19E-01
1438_at	1589.64	3.21E-01
1487_at	14380.87	2.19E-02
1494_f_at	2842.39	6.04E-02
1598_g_at	15867.80	4.18E-03
160020_at	7596.59	3.94E-02
1729_at	10528.38	2.19E-04
1773_at	6656.24	4.40E-02
177_at	969.36	7.38E-02
179_at	8665.73	1.07E-01
1861_at	8583.82	1.89E-03
200000_s_at	58890.55	2.44E-04
200001_at	72318.37	2.44E-04
200002_at	533849.44	2.44E-04
200003_s_at	662549.50	2.44E-04
200004_at	323339.22	2.44E-04
200005_at	113621.49	2.44E-04
200006_at	278681.84	2.44E-04
200007_at	203296.66	2.44E-04
200008_s_at	109837.06	2.44E-04
200009_at	247182.70	2.44E-04
200010_at	432978.44	2.44E-04
200011_s_at	85512.47	2.44E-04
200012_x_at	517468.16	2.44E-04
200013_at	588289.56	2.44E-04
200014_s_at	124620.59	2.44E-04
200015_s_at	105705.56	7.32E-04
200016_x_at	587364.25	2.44E-04
200017_at	607352.70	2.44E-04
200018_at	656442.00	2.44E-04
200019_s_at	365480.40	2.44E-04
200020_at	86989.05	2.44E-04
200021_at	372990.40	1.22E-03
200022_at	497664.90	2.44E-04
200023_s_at	239671.66	2.44E-04
200024_at	385930.94	2.44E-04
200025_s_at	605206.10	2.44E-04
200026_at	365629.97	2.44E-04
200027_at	131301.64	2.44E-04
200028_s_at	162233.81	2.44E-04
200029_at	474188.22	2.44E-04
200030_s_at	484189.75	2.44E-04
200031_s_at	522699.16	2.44E-04
200032_s_at	626703.25	2.44E-04
200033_at	230431.83	2.44E-04
200034_s_at	516522.53	2.44E-04
200035_at	12651.79	1.42E-02
200036_s_at	352003.40	2.44E-04
200037_s_at	274649.94	2.44E-04
200038_s_at	590556.40	2.44E-04
200039_s_at	122155.24	2.44E-04
200040_at	153021.19	2.44E-04
200041_s_at	191003.73	2.44E-04
200042_at	62891.32	2.44E-04
200043_at	374051.06	2.44E-04
200044_at	130586.31	2.44E-04
200045_at	33321.59	2.44E-04
200046_at	101136.86	2.44E-04
200047_s_at	176015.61	2.44E-04
200048_s_at	173097.19	2.44E-04
200049_at	26726.08	2.44E-04
200050_at	62354.72	7.32E-04
200051_at	9479.43	7.32E-04
200052_s_at	121823.70	2.44E-04
200053_at	28677.20	7.32E-04
200054_at	33456.34	2.44E-04
200055_at	45437.41	2.44E-04
200056_s_at	56343.94	2.44E-04
200057_s_at	249643.98	2.44E-04
200058_s_at	105301.92	2.44E-04
200059_s_at	208475.42	2.44E-04
200060_s_at	175507.89	2.44E-04
200061_s_at	603059.40	2.44E-04
200062_s_at	495831.56	2.44E-04
200063_s_at	580674.30	2.44E-04
200064_at	354172.75	2.44E-04
200065_s_at	150945.27	2.44E-04
200066_at	43849.15	2.44E-04
200067_x_at	114806.50	2.44E-04
200068_s_at	254071.47	2.44E-04
200069_at	22800.46	2.44E-04
200070_at	14992.48	5.86E-03
200071_at	67839.52	7.32E-04
200072_s_at	141199.98	2.44E-04
200073_s_at	221431.66	2.44E-04
200074_s_at	271273.00	2.44E-04
200075_s_at	9661.75	2.44E-04
200076_s_at	18066.69	7.32E-04
200077_s_at	397135.25	2.44E-04
200078_s_at	47736.07	2.44E-04
200079_s_at	146292.42	2.44E-04
200080_s_at	408838.84	2.44E-04
200081_s_at	567616.90	2.44E-04
200082_s_at	567058.90	2.44E-04
200083_at	80630.86	7.32E-04
200084_at	146318.86	2.44E-04
200085_s_at	88507.21	2.44E-04
200086_s_at	227814.06	2.44E-04
200087_s_at	230568.10	2.44E-04
200088_x_at	684230.25	2.44E-04
200089_s_at	481405.70	2.44E-04
200090_at	165143.23	2.44E-04
200091_s_at	444761.30	2.44E-04
200092_s_at	624568.56	2.44E-04
200093_s_at	233421.98	2.44E-04
200094_s_at	254800.19	2.44E-04
200095_x_at	744962.75	2.44E-04
200096_s_at	138579.66	2.44E-04
200097_s_at	134831.30	2.44E-04
200098_s_at	92209.38	7.32E-04
200099_s_at	700266.70	2.44E-04
200593_s_at	67394.81	2.44E-04
200594_x_at	166255.45	2.44E-04
200595_s_at	120960.56	2.44E-04
200596_s_at	25036.60	2.44E-04
200597_at	13953.32	2.44E-04
200598_s_at	109121.84	2.44E-04
200599_s_at	270031.03	2.44E-04
200600_at	71.35	8.70E-01
200601_at	27231.18	1.22E-03
200602_at	51543.66	2.44E-04
200603_at	86327.59	2.44E-04
200604_s_at	25316.06	2.44E-04
200605_s_at	52713.12	2.44E-04
200606_at	184849.97	2.44E-04
200607_s_at	26470.13	1.95E-03
200608_s_at	109739.20	2.44E-04
200609_s_at	64772.05	1.22E-03
200610_s_at	202274.30	7.32E-04
200611_s_at	61858.07	2.44E-04
200612_s_at	29586.91	7.32E-04
200613_at	75677.31	7.32E-04
200614_at	211608.40	2.44E-04
200615_s_at	16622.16	7.32E-04
200616_s_at	56586.08	1.22E-03
200617_at	34254.52	2.44E-04
200618_at	55278.50	2.44E-04
200619_at	21800.76	1.86E-02
200620_at	71737.52	2.44E-04
200621_at	27681.52	7.32E-04
200622_x_at	29301.65	2.44E-04
200623_s_at	24803.65	2.44E-04
200624_s_at	123367.48	2.44E-04
200625_s_at	68683.77	2.44E-04
200626_s_at	229252.02	2.44E-04
200627_at	372670.10	2.44E-04
200628_s_at	8898.94	1.71E-01
200629_at	16606.39	2.44E-04
200630_x_at	105704.84	2.44E-04
200631_s_at	178288.48	2.44E-04
200632_s_at	22238.36	2.44E-04
200633_at	656855.30	2.44E-04
200634_at	174082.92	2.44E-04
200635_s_at	9358.72	7.32E-04
200636_s_at	40790.71	1.95E-03
200637_s_at	5800.45	4.15E-03
200638_s_at	130587.47	2.44E-04
200639_s_at	80593.60	2.44E-04
200640_at	113511.93	2.44E-04
200641_s_at	78152.09	2.44E-04
200642_at	298932.06	2.44E-04
200643_at	9974.22	7.32E-04
200644_at	149314.97	2.44E-04
200645_at	106726.31	2.44E-04
200646_s_at	6059.17	2.93E-03
200647_x_at	157998.97	2.44E-04
200648_s_at	44264.59	2.44E-04
200649_at	10394.75	7.32E-04
200650_s_at	379573.16	2.44E-04
200651_at	688532.20	2.44E-04
200652_at	120448.06	2.44E-04
200653_s_at	195015.25	2.44E-04
200654_at	194546.16	8.06E-03
200655_s_at	178027.64	2.44E-04
200656_s_at	83012.02	2.44E-04
200657_at	357793.50	2.44E-04
200658_s_at	263275.34	2.44E-04
200659_s_at	58592.28	2.44E-04
200660_at	40757.42	2.93E-03
200661_at	80257.78	2.44E-04
200662_s_at	160496.98	2.44E-04
200663_at	220856.28	2.44E-04
200664_s_at	16825.27	5.86E-03
200665_s_at	1470.77	2.19E-01
200666_s_at	34273.38	2.44E-04
200667_at	61385.00	2.44E-04
200668_s_at	146381.02	2.44E-04
200669_s_at	69408.28	2.44E-04
200670_at	62513.96	2.44E-04
200671_s_at	2032.60	2.46E-01
200672_x_at	7411.79	2.44E-04
200673_at	158885.52	2.44E-04
200674_s_at	436261.06	2.44E-04
200675_at	167155.06	2.44E-04
200676_s_at	8139.17	2.44E-04
200677_at	237015.60	2.44E-04
200678_x_at	20611.47	2.93E-03
200679_x_at	160196.95	2.44E-04
200680_x_at	410258.03	2.44E-04
200681_at	253386.55	2.44E-04
200682_s_at	115226.52	2.44E-04
200683_s_at	34181.34	2.44E-04
200684_s_at	16341.47	2.44E-04
200685_at	14966.30	2.44E-04
200686_s_at	160629.30	2.44E-04
200687_s_at	48089.82	2.44E-04
200688_at	5686.63	1.86E-02
200689_x_at	519678.44	2.44E-04
200690_at	32709.61	7.32E-04
200691_s_at	230776.52	2.44E-04
200692_s_at	120619.58	2.44E-04
200693_at	306592.16	2.44E-04
200694_s_at	45460.93	2.44E-04
200695_at	31092.20	1.95E-03
200696_s_at	41946.65	1.22E-03
200697_at	3918.04	1.95E-01
200698_at	181839.95	2.44E-04
200699_at	104202.34	2.44E-04
200700_s_at	137659.23	2.44E-04
200701_at	180668.92	2.44E-04
200702_s_at	7598.04	2.44E-04
200703_at	272293.22	2.44E-04
200704_at	29023.60	2.44E-04
200705_s_at	610964.80	2.44E-04
200706_s_at	14529.34	1.22E-03
200707_at	13765.47	7.32E-04
200708_at	88338.82	2.44E-04
200709_at	113278.52	2.44E-04
200710_at	19406.08	2.93E-03
200711_s_at	68578.52	2.44E-04
200712_s_at	96011.09	2.44E-04
200713_s_at	226274.47	2.44E-04
200714_x_at	55554.55	2.44E-04
200715_x_at	282475.25	2.44E-04
200716_x_at	646277.06	2.44E-04
200717_x_at	726952.56	2.44E-04
200718_s_at	493661.40	2.44E-04
200719_at	8751.89	2.44E-04
200720_s_at	16106.85	2.44E-04
200721_s_at	8355.82	1.42E-02
200722_s_at	22178.65	2.44E-04
200723_s_at	162572.27	2.44E-04
200724_at	1247.43	5.62E-02
200725_x_at	376651.34	2.44E-04
200726_at	336061.50	2.44E-04
200727_s_at	36466.83	7.32E-04
200728_at	121278.84	2.44E-04
200729_s_at	116494.94	2.44E-04
200730_s_at	35618.35	2.44E-04
200731_s_at	22123.71	2.44E-04
200732_s_at	48196.19	2.44E-04
200733_s_at	131916.36	7.32E-04
200734_s_at	69545.43	2.44E-04
200735_x_at	507788.28	2.44E-04
200736_s_at	61903.95	2.44E-04
200737_at	76965.67	7.32E-04
200738_s_at	281671.56	2.44E-04
200739_s_at	25833.88	2.44E-04
200740_s_at	159738.06	2.44E-04
200741_s_at	693371.30	2.44E-04
200742_s_at	8721.06	2.44E-04
200743_s_at	37320.72	2.44E-04
200744_s_at	51292.53	2.44E-04
200745_s_at	62307.16	2.44E-04
200746_s_at	67465.25	1.22E-03
200747_s_at	12862.12	5.86E-03
200748_s_at	268910.60	2.44E-04
200749_at	87819.21	2.44E-04
200750_s_at	384740.28	2.44E-04
200751_s_at	103307.37	2.44E-04
200752_s_at	4717.85	8.06E-03
200753_x_at	82570.20	2.44E-04
200754_x_at	252253.11	2.44E-04
200755_s_at	32047.06	2.44E-04
200756_x_at	13903.37	2.44E-04
200757_s_at	39818.20	2.44E-04
200758_s_at	28659.23	7.32E-04
200759_x_at	46210.66	2.44E-04
200760_s_at	37514.23	2.44E-04
200761_s_at	62492.28	2.44E-04
200762_at	95276.92	2.44E-04
200763_s_at	658878.06	2.44E-04
200764_s_at	56412.29	2.44E-04
200765_x_at	133298.95	2.44E-04
200766_at	9259.46	1.22E-03
200767_s_at	3746.12	2.93E-03
200768_s_at	72110.56	2.44E-04
200769_s_at	19298.81	1.22E-03
200770_s_at	33548.08	2.44E-04
200771_at	76264.66	2.44E-04
200772_x_at	229456.86	2.44E-04
200773_x_at	282899.25	2.44E-04
200774_at	68154.70	2.44E-04
200775_s_at	243580.10	2.44E-04
200776_s_at	110787.68	2.44E-04
200777_s_at	142192.00	2.44E-04
200778_s_at	45622.54	2.44E-04
200779_at	178741.45	2.44E-04
200780_x_at	451551.25	2.44E-04
200781_s_at	540999.70	2.44E-04
200782_at	123372.27	2.44E-04
200783_s_at	21959.24	2.44E-04
200784_s_at	960.89	3.99E-01
200785_s_at	2045.90	2.74E-01
200786_at	165955.70	2.44E-04
200787_s_at	10693.73	2.44E-04
200788_s_at	24913.40	2.44E-04
200789_at	64677.67	5.86E-03
200790_at	271073.80	2.44E-04
200791_s_at	32449.97	2.44E-04
200792_at	186931.58	2.44E-04
200793_s_at	45555.83	7.32E-04
200794_x_at	207657.73	2.44E-04
200795_at	443.85	1.95E-01
200796_s_at	2450.20	2.39E-02
200797_s_at	64085.29	7.32E-04
200798_x_at	35066.28	2.44E-04
200799_at	157583.16	2.44E-04
200800_s_at	49946.43	2.44E-04
200801_x_at	591429.00	2.44E-04
200802_at	82384.68	2.44E-04
200803_s_at	211918.69	2.44E-04
200804_at	154039.66	2.44E-04
200805_at	42777.56	2.44E-04
200806_s_at	464788.62	2.44E-04
200807_s_at	784151.40	2.44E-04
200808_s_at	8078.92	1.95E-03
200809_x_at	598340.25	2.44E-04
200810_s_at	65693.77	2.44E-04
200811_at	37753.88	5.86E-03
200812_at	210377.95	2.44E-04
200813_s_at	12889.16	1.95E-03
200814_at	73925.97	2.44E-04
200815_s_at	33306.07	2.44E-04
200816_s_at	55635.94	7.32E-04
200817_x_at	782649.90	2.44E-04
200818_at	254067.40	2.44E-04
200819_s_at	502752.12	2.44E-04
200820_at	76842.56	2.44E-04
200821_at	63436.36	7.32E-04
200822_x_at	259710.33	2.44E-04
200823_x_at	351168.16	2.44E-04
200824_at	229860.86	2.44E-04
200825_s_at	44028.47	2.44E-04
200826_at	217551.36	2.44E-04
200827_at	16378.97	1.95E-03
200828_s_at	134506.77	2.44E-04
200829_x_at	113961.46	2.44E-04
200830_at	85271.90	2.44E-04
200831_s_at	67930.55	2.44E-04
200832_s_at	263897.84	2.44E-04
200833_s_at	128073.95	2.44E-04
200834_s_at	763249.30	2.44E-04
200835_s_at	1259.10	7.26E-01
200836_s_at	4257.33	1.95E-01
200837_at	68018.52	2.44E-04
200838_at	80843.66	1.95E-03
200839_s_at	106693.57	2.44E-04
200840_at	396181.75	2.44E-04
200841_s_at	10945.22	2.44E-04
200842_s_at	61610.07	2.44E-04
200843_s_at	38077.03	2.44E-04
200844_s_at	247659.56	2.44E-04
200845_s_at	214926.83	2.44E-04
200846_s_at	151502.10	2.44E-04
200847_s_at	97387.61	2.44E-04
200848_at	25686.85	2.44E-04
200849_s_at	25360.87	2.44E-04
200850_s_at	58402.99	2.44E-04
200851_s_at	90974.94	7.32E-04
200852_x_at	25991.47	4.15E-03
200853_at	322232.40	2.44E-04
200854_at	15256.21	2.44E-04
200855_at	5295.44	2.93E-03
200856_x_at	6127.76	2.44E-04
200857_s_at	9268.96	4.15E-03
200858_s_at	374045.44	2.44E-04
200859_x_at	14953.61	7.32E-04
200860_s_at	94317.24	2.44E-04
200861_at	20620.08	1.95E-03
200862_at	139065.73	2.44E-04
200863_s_at	138129.22	2.44E-04
200864_s_at	16903.91	2.44E-04
200865_at	38.79	8.70E-01
200866_s_at	106150.27	1.22E-03
200867_at	44599.70	2.44E-04
200868_s_at	60976.96	2.44E-04
200869_at	614094.94	2.44E-04
200870_at	281575.44	2.44E-04
200871_s_at	208160.20	2.44E-04
200872_at	536542.30	2.44E-04
200873_s_at	265493.90	2.44E-04
200874_s_at	12908.49	2.44E-04
200875_s_at	117529.61	2.44E-04
200876_s_at	244267.75	7.32E-04
200877_at	357486.47	2.44E-04
200878_at	18865.87	2.44E-04
200879_s_at	785.19	1.71E-01
200880_at	74790.43	2.44E-04
200881_s_at	138092.47	2.44E-04
200882_s_at	102576.66	2.44E-04
200883_at	144118.72	2.44E-04
200884_at	98326.84	2.44E-04
200885_at	52629.63	1.95E-03
200886_s_at	256311.45	2.44E-04
200887_s_at	162922.27	2.44E-04
200888_s_at	392239.06	2.44E-04
200889_s_at	51983.03	2.44E-04
200890_s_at	26669.33	2.44E-04
200891_s_at	144038.83	2.44E-04
200892_s_at	109328.75	2.44E-04
200893_at	211403.02	2.44E-04
200894_s_at	17836.90	1.86E-02
200895_s_at	36027.63	2.44E-04
200896_x_at	102141.99	2.44E-04
200897_s_at	1252.39	5.62E-02
200898_s_at	7980.49	1.07E-02
200899_s_at	27716.31	2.44E-04
200900_s_at	36335.73	2.44E-04
200901_s_at	56179.70	2.44E-04
200902_at	130652.27	2.44E-04
200903_s_at	229408.80	2.44E-04
200904_at	4260.99	2.44E-04
200905_x_at	33445.90	2.44E-04
200906_s_at	565.95	4.66E-01
200907_s_at	503.66	6.34E-01
200908_s_at	3132.53	2.39E-02
200909_s_at	525959.10	2.44E-04
200910_at	152041.05	2.44E-04
200911_s_at	36092.09	1.86E-02
200912_s_at	387545.47	2.44E-04
200913_at	27215.70	2.44E-04
200914_x_at	32329.42	2.44E-04
200915_x_at	97954.31	2.44E-04
200916_at	89854.38	1.22E-03
200917_s_at	9019.24	5.62E-02
200918_s_at	57914.82	7.32E-04
200919_at	33739.93	1.07E-02
200920_s_at	33399.87	2.44E-04
200921_s_at	28120.90	2.44E-04
200922_at	29936.99	2.44E-04
200923_at	59315.33	5.86E-03
200924_s_at	47457.39	7.32E-04
200925_at	386707.12	2.44E-04
200926_at	783006.56	2.44E-04
200927_s_at	25678.93	2.44E-04
200928_s_at	1617.31	1.22E-03
200929_at	76611.40	2.44E-04
200930_s_at	770.65	3.99E-01
200931_s_at	34458.77	2.44E-04
200932_s_at	35159.15	2.44E-04
200933_x_at	646588.25	2.44E-04
200934_at	222881.72	2.44E-04
200935_at	15837.12	2.44E-04
200936_at	516235.75	2.44E-04
200937_s_at	454882.16	2.44E-04
200938_s_at	58.01	9.44E-01
200939_s_at	80.57	8.29E-01
200940_s_at	11621.94	7.32E-04
