^SAMPLE = GSM1017465
!Sample_title = DU145_4c
!Sample_geo_accession = GSM1017465
!Sample_status = Public on Oct 10 2012
!Sample_submission_date = Oct 10 2012
!Sample_last_update_date = Oct 10 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = DU 145
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: male
!Sample_characteristics_ch1 = organ: Prostate
!Sample_characteristics_ch1 = disease: moderately differentiated adenocarcinoma
!Sample_characteristics_ch1 = morphology: epithelial
!Sample_characteristics_ch1 = is_metastasis: yes
!Sample_characteristics_ch1 = metastatic_site: brain
!Sample_characteristics_ch1 = in_vivo_growth: yes
!Sample_characteristics_ch1 = cell line: DU 145
!Sample_characteristics_ch1 = atcc_number: HTB-81
!Sample_treatment_protocol_ch1 = Cell lines were not treated.
!Sample_growth_protocol_ch1 = Cell lines were obtained from ATCC and DSMZ and cultivated in appropriate media according to supplier recommendations. Isolation of total RNA was performed after 72h growth using Qiagen
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 3 ug total RNA (Expression Analysis Technical Manual, 2006, Affymetrix).
!Sample_hyb_protocol = 15 ug of cleaned cRNA is fragmented and then hybridized for 16 hr at 45°C on GeneChip U133 Plus 2.0 probe array. GeneChips were washed and stained in the Affymetrix GeneChip Fluidics Station 450
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneChip Scanner 3000. Scanning parameters: pixel size: 1.56 μm, wavelength: 570 nm.
!Sample_description = gene expression profiling of 21 cell lines
!Sample_description = DU 145, replicate 3
!Sample_data_processing = Signal intensities were extracted with Affymetrix GeneChip Operating software (GCOS, version 1.4.0.036; Instrument control version: 6.0.1.002).
!Sample_data_processing = Expression values for all .CEL files were computed using MAS5.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Philip,,Groth
!Sample_contact_email = philip.groth@bayer.com
!Sample_contact_laboratory = Chromatin Modulation and OncoGenomics
!Sample_contact_department = Therapeutic Research Group Oncology
!Sample_contact_institute = Bayer Pharma AG
!Sample_contact_address = Muellerstr. 178
!Sample_contact_city = Berlin
!Sample_contact_zip/postal_code = 13353
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1017nnn/GSM1017465/suppl/GSM1017465_mRNA_4c_281106.CEL.gz
!Sample_series_id = GSE41445
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	DETECTION P-VALUE
AFFX-BioB-5_at	9671.28	6.62E-04
AFFX-BioB-M_at	11185.48	4.43E-05
AFFX-BioB-3_at	8915.00	7.01E-05
AFFX-BioC-5_at	26114.31	5.17E-05
AFFX-BioC-3_at	37241.34	5.17E-05
AFFX-BioDn-5_at	66200.48	4.43E-05
AFFX-BioDn-3_at	168731.77	8.14E-05
AFFX-CreX-5_at	382344.40	4.43E-05
AFFX-CreX-3_at	471688.40	4.43E-05
AFFX-DapX-5_at	2032.98	1.47E-04
AFFX-DapX-M_at	5298.91	4.02E-03
AFFX-DapX-3_at	5123.43	3.90E-04
AFFX-LysX-5_at	378.72	1.39E-01
AFFX-LysX-M_at	709.23	2.63E-01
AFFX-LysX-3_at	1097.08	6.62E-04
AFFX-PheX-5_at	159.96	4.26E-01
AFFX-PheX-M_at	431.32	2.63E-01
AFFX-PheX-3_at	897.75	6.77E-02
AFFX-ThrX-5_at	1084.02	8.36E-02
AFFX-ThrX-M_at	841.21	1.39E-01
AFFX-ThrX-3_at	1320.48	3.37E-02
AFFX-TrpnX-5_at	387.74	1.48E-01
AFFX-TrpnX-M_at	36.41	9.87E-01
AFFX-TrpnX-3_at	250.93	1.16E-01
AFFX-r2-Ec-bioB-5_at	15117.06	2.44E-04
AFFX-r2-Ec-bioB-M_at	14044.91	2.44E-04
AFFX-r2-Ec-bioB-3_at	13797.69	2.44E-04
AFFX-r2-Ec-bioC-5_at	34740.76	2.44E-04
AFFX-r2-Ec-bioC-3_at	49196.14	2.44E-04
AFFX-r2-Ec-bioD-5_at	171865.38	2.44E-04
AFFX-r2-Ec-bioD-3_at	237855.66	2.44E-04
AFFX-r2-P1-cre-5_at	527803.10	2.44E-04
AFFX-r2-P1-cre-3_at	726299.44	2.44E-04
AFFX-r2-Bs-dap-5_at	2725.85	7.32E-04
AFFX-r2-Bs-dap-M_at	5386.51	7.32E-04
AFFX-r2-Bs-dap-3_at	6726.32	2.44E-04
AFFX-r2-Bs-lys-5_at	567.95	4.15E-03
AFFX-r2-Bs-lys-M_at	819.68	8.06E-02
AFFX-r2-Bs-lys-3_at	697.34	4.61E-02
AFFX-r2-Bs-phe-5_at	872.60	5.86E-03
AFFX-r2-Bs-phe-M_at	620.78	6.76E-02
AFFX-r2-Bs-phe-3_at	2038.43	4.61E-02
AFFX-r2-Bs-thr-3_s_at	1084.63	3.34E-01
AFFX-r2-Bs-thr-M_s_at	1940.49	5.62E-02
AFFX-r2-Bs-thr-5_s_at	1688.01	2.44E-04
AFFX-HUMISGF3A/M97935_5_at	11548.70	9.45E-05
AFFX-HUMISGF3A/M97935_MA_at	14588.31	9.45E-05
AFFX-HUMISGF3A/M97935_MB_at	11719.58	5.17E-05
AFFX-HUMISGF3A/M97935_3_at	39607.48	7.01E-05
AFFX-HUMRGE/M10098_5_at	73284.81	4.43E-05
AFFX-HUMRGE/M10098_M_at	47853.86	4.43E-05
AFFX-HUMRGE/M10098_3_at	20988.22	9.45E-05
AFFX-HUMGAPDH/M33197_5_at	694150.44	4.43E-05
AFFX-HUMGAPDH/M33197_M_at	635252.50	4.43E-05
AFFX-HUMGAPDH/M33197_3_at	688444.70	4.43E-05
AFFX-HSAC07/X00351_5_at	326326.22	4.43E-05
AFFX-HSAC07/X00351_M_at	383542.78	4.43E-05
AFFX-HSAC07/X00351_3_at	472832.12	4.43E-05
AFFX-M27830_5_at	24285.27	4.43E-05
AFFX-M27830_M_at	98665.98	2.56E-03
AFFX-M27830_3_at	1626.88	3.83E-01
AFFX-hum_alu_at	935273.60	2.61E-13
1007_s_at	38174.91	5.62E-04
1053_at	10882.72	2.66E-04
117_at	1928.80	2.19E-02
121_at	10894.74	3.52E-02
1255_g_at	199.23	5.21E-01
1294_at	2245.33	7.38E-02
1316_at	1056.70	1.14E-02
1320_at	240.06	5.00E-01
1405_i_at	1629.20	3.20E-02
1431_at	284.20	2.51E-01
1438_at	979.88	3.98E-01
1487_at	8295.34	6.69E-02
1494_f_at	1759.95	2.47E-02
1598_g_at	18078.88	9.59E-04
160020_at	8747.19	7.54E-03
1729_at	10842.97	2.19E-04
1773_at	7902.24	2.62E-03
177_at	4290.23	1.14E-03
179_at	11274.80	1.31E-02
1861_at	8225.43	8.05E-04
200000_s_at	42492.75	2.44E-04
200001_at	123714.66	2.44E-04
200002_at	495300.66	2.44E-04
200003_s_at	608305.00	2.44E-04
200004_at	282692.12	2.44E-04
200005_at	83099.45	2.44E-04
200006_at	240464.73	2.44E-04
200007_at	232900.95	2.44E-04
200008_s_at	79168.25	2.44E-04
200009_at	159175.66	2.44E-04
200010_at	439490.56	2.44E-04
200011_s_at	66847.24	2.44E-04
200012_x_at	486311.90	2.44E-04
200013_at	435702.28	2.44E-04
200014_s_at	143197.97	2.44E-04
200015_s_at	269939.10	7.32E-04
200016_x_at	454937.40	2.44E-04
200017_at	598955.80	2.44E-04
200018_at	528551.56	2.44E-04
200019_s_at	307249.10	2.44E-04
200020_at	49914.34	2.44E-04
200021_at	425281.70	7.32E-04
200022_at	444952.72	2.44E-04
200023_s_at	134851.23	2.44E-04
200024_at	436971.44	2.44E-04
200025_s_at	549081.60	2.44E-04
200026_at	398597.56	2.44E-04
200027_at	110735.93	2.44E-04
200028_s_at	67722.06	2.44E-04
200029_at	450055.90	2.44E-04
200030_s_at	337059.47	2.44E-04
200031_s_at	611407.50	2.44E-04
200032_s_at	672966.60	2.44E-04
200033_at	248247.02	2.44E-04
200034_s_at	501389.56	2.44E-04
200035_at	16852.40	5.86E-03
200036_s_at	367866.53	2.44E-04
200037_s_at	185982.55	2.44E-04
200038_s_at	543909.40	2.44E-04
200039_s_at	99799.11	2.44E-04
200040_at	140207.70	2.44E-04
200041_s_at	116554.01	2.44E-04
200042_at	28930.11	2.44E-04
200043_at	313536.62	2.44E-04
