^SAMPLE = GSM1017476
!Sample_title = HS68_8b
!Sample_geo_accession = GSM1017476
!Sample_status = Public on Oct 10 2012
!Sample_submission_date = Oct 10 2012
!Sample_last_update_date = Oct 10 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = Hs68
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: male
!Sample_characteristics_ch1 = organ: Skin
!Sample_characteristics_ch1 = disease: non-tumorigenic; aspartoacylase deficiency; possible Canavan disease
!Sample_characteristics_ch1 = morphology: fibroblast
!Sample_characteristics_ch1 = is_metastasis: no
!Sample_characteristics_ch1 = metastatic_site: n/a
!Sample_characteristics_ch1 = in_vivo_growth: not tested
!Sample_characteristics_ch1 = cell line: Hs68
!Sample_characteristics_ch1 = atcc_number: CRL-1635
!Sample_treatment_protocol_ch1 = Cell lines were not treated.
!Sample_growth_protocol_ch1 = Cell lines were obtained from ATCC and DSMZ and cultivated in appropriate media according to supplier recommendations. Isolation of total RNA was performed after 72h growth using Qiagen
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 3 ug total RNA (Expression Analysis Technical Manual, 2006, Affymetrix).
!Sample_hyb_protocol = 15 ug of cleaned cRNA is fragmented and then hybridized for 16 hr at 45°C on GeneChip U133 Plus 2.0 probe array. GeneChips were washed and stained in the Affymetrix GeneChip Fluidics Station 450
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneChip Scanner 3000. Scanning parameters: pixel size: 1.56 μm, wavelength: 570 nm.
!Sample_description = gene expression profiling of 21 cell lines
!Sample_description = Hs68, replicate 2
!Sample_data_processing = Signal intensities were extracted with Affymetrix GeneChip Operating software (GCOS, version 1.4.0.036; Instrument control version: 6.0.1.002).
!Sample_data_processing = Expression values for all .CEL files were computed using MAS5.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Philip,,Groth
!Sample_contact_email = philip.groth@bayer.com
!Sample_contact_laboratory = Chromatin Modulation and OncoGenomics
!Sample_contact_department = Therapeutic Research Group Oncology
!Sample_contact_institute = Bayer Pharma AG
!Sample_contact_address = Muellerstr. 178
!Sample_contact_city = Berlin
!Sample_contact_zip/postal_code = 13353
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1017nnn/GSM1017476/suppl/GSM1017476_mRNA_8b_061206.CEL.gz
!Sample_series_id = GSE41445
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	DETECTION P-VALUE
AFFX-BioB-5_at	9699.91	6.62E-04
AFFX-BioB-M_at	11626.85	5.17E-05
AFFX-BioB-3_at	8692.00	6.02E-05
AFFX-BioC-5_at	27908.53	5.17E-05
AFFX-BioC-3_at	34427.40	4.43E-05
AFFX-BioDn-5_at	61200.31	4.43E-05
AFFX-BioDn-3_at	142953.61	1.27E-04
AFFX-CreX-5_at	365036.16	4.43E-05
AFFX-CreX-3_at	441909.94	4.43E-05
AFFX-DapX-5_at	19399.17	4.43E-05
AFFX-DapX-M_at	38078.79	3.40E-04
AFFX-DapX-3_at	39786.38	4.43E-05
AFFX-LysX-5_at	2947.27	7.01E-05
AFFX-LysX-M_at	3784.64	6.19E-03
AFFX-LysX-3_at	8485.68	4.43E-05
AFFX-PheX-5_at	4230.22	6.02E-05
AFFX-PheX-M_at	5733.28	9.45E-05
AFFX-PheX-3_at	3498.73	4.43E-05
AFFX-ThrX-5_at	5039.60	8.14E-05
AFFX-ThrX-M_at	6931.35	5.17E-05
AFFX-ThrX-3_at	10454.22	5.17E-05
AFFX-TrpnX-5_at	167.36	2.28E-01
AFFX-TrpnX-M_at	35.19	9.92E-01
AFFX-TrpnX-3_at	129.27	6.46E-01
AFFX-r2-Ec-bioB-5_at	13292.14	2.44E-04
AFFX-r2-Ec-bioB-M_at	15123.27	2.44E-04
AFFX-r2-Ec-bioB-3_at	14033.05	2.44E-04
AFFX-r2-Ec-bioC-5_at	37779.89	2.44E-04
AFFX-r2-Ec-bioC-3_at	41721.49	2.44E-04
AFFX-r2-Ec-bioD-5_at	160297.45	2.44E-04
AFFX-r2-Ec-bioD-3_at	199733.11	2.44E-04
AFFX-r2-P1-cre-5_at	480047.30	2.44E-04
AFFX-r2-P1-cre-3_at	650548.80	2.44E-04
AFFX-r2-Bs-dap-5_at	25470.57	2.44E-04
AFFX-r2-Bs-dap-M_at	46527.36	2.44E-04
AFFX-r2-Bs-dap-3_at	52674.57	2.44E-04
AFFX-r2-Bs-lys-5_at	4044.08	2.44E-04
AFFX-r2-Bs-lys-M_at	3627.40	2.44E-04
AFFX-r2-Bs-lys-3_at	4726.08	2.44E-04
AFFX-r2-Bs-phe-5_at	5789.08	2.44E-04
AFFX-r2-Bs-phe-M_at	5248.28	2.44E-04
AFFX-r2-Bs-phe-3_at	9415.52	2.44E-04
AFFX-r2-Bs-thr-3_s_at	11235.40	7.32E-04
AFFX-r2-Bs-thr-M_s_at	10506.40	1.95E-03
AFFX-r2-Bs-thr-5_s_at	6201.48	2.44E-04
AFFX-HUMISGF3A/M97935_5_at	10478.86	1.27E-04
AFFX-HUMISGF3A/M97935_MA_at	16945.90	1.27E-04
AFFX-HUMISGF3A/M97935_MB_at	17577.86	4.43E-05
AFFX-HUMISGF3A/M97935_3_at	58427.24	4.43E-05
AFFX-HUMRGE/M10098_5_at	616387.94	4.43E-05
AFFX-HUMRGE/M10098_M_at	205627.52	4.43E-05
AFFX-HUMRGE/M10098_3_at	88926.13	4.43E-05
AFFX-HUMGAPDH/M33197_5_at	596312.30	4.43E-05
AFFX-HUMGAPDH/M33197_M_at	546413.20	4.43E-05
AFFX-HUMGAPDH/M33197_3_at	572583.44	4.43E-05
AFFX-HSAC07/X00351_5_at	580081.56	4.43E-05
AFFX-HSAC07/X00351_M_at	584205.06	4.43E-05
AFFX-HSAC07/X00351_3_at	582275.30	4.43E-05
AFFX-M27830_5_at	47486.50	4.43E-05
AFFX-M27830_M_at	117158.81	1.41E-03
AFFX-M27830_3_at	649.03	4.41E-01
AFFX-hum_alu_at	715889.75	2.61E-13
1007_s_at	20316.40	1.60E-03
1053_at	4225.87	9.59E-04
117_at	559.98	3.78E-01
121_at	10272.82	6.53E-03
1255_g_at	972.56	6.04E-02
1294_at	10153.33	9.59E-04
1316_at	1822.92	4.86E-03
1320_at	2768.49	1.93E-02
1405_i_at	86.60	7.03E-01
1431_at	1563.47	9.59E-04
1438_at	5653.17	5.62E-04
1487_at	8282.79	8.94E-02
1494_f_at	2168.26	2.79E-02
1598_g_at	198658.33	2.19E-04
160020_at	26673.54	9.59E-04
1729_at	14311.52	2.19E-04
1773_at	7981.58	3.07E-03
177_at	2655.98	5.62E-04
179_at	12744.28	8.13E-02
1861_at	9875.03	6.73E-04
200000_s_at	31295.15	2.44E-04
200001_at	196613.25	2.44E-04
200002_at	408580.97	2.44E-04
200003_s_at	671749.10	2.44E-04
200004_at	304602.00	2.44E-04
200005_at	121973.08	2.44E-04
200006_at	281763.34	2.44E-04
200007_at	256293.98	2.44E-04
200008_s_at	72581.34	2.44E-04
200009_at	145352.78	2.44E-04
200010_at	497478.84	2.44E-04
200011_s_at	49675.66	2.44E-04
200012_x_at	460815.10	2.44E-04
200013_at	486750.66	2.44E-04
200014_s_at	84242.40	2.44E-04
200015_s_at	276375.62	2.44E-04
200016_x_at	389687.28	2.44E-04
200017_at	533313.40	2.44E-04
200018_at	595382.60	2.44E-04
