^SAMPLE = GSM1017492
!Sample_title = MDAMB231_13c
!Sample_geo_accession = GSM1017492
!Sample_status = Public on Oct 10 2012
!Sample_submission_date = Oct 10 2012
!Sample_last_update_date = Oct 10 2012
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = MDA-MB-231
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = gender: female
!Sample_characteristics_ch1 = organ: Breast
!Sample_characteristics_ch1 = disease: adenocarcinoma
!Sample_characteristics_ch1 = morphology: epithelial
!Sample_characteristics_ch1 = is_metastasis: yes
!Sample_characteristics_ch1 = metastatic_site: pleural fluid
!Sample_characteristics_ch1 = in_vivo_growth: not tested
!Sample_characteristics_ch1 = cell line: MDA-MB-231
!Sample_characteristics_ch1 = atcc_number: HTB-26
!Sample_treatment_protocol_ch1 = Cell lines were not treated.
!Sample_growth_protocol_ch1 = Cell lines were obtained from ATCC and DSMZ and cultivated in appropriate media according to supplier recommendations. Isolation of total RNA was performed after 72h growth using Qiagen
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Trizol extraction of total RNA was performed according to the manufacturer's instructions.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 3 ug total RNA (Expression Analysis Technical Manual, 2006, Affymetrix).
!Sample_hyb_protocol = 15 ug of cleaned cRNA is fragmented and then hybridized for 16 hr at 45°C on GeneChip U133 Plus 2.0 probe array. GeneChips were washed and stained in the Affymetrix GeneChip Fluidics Station 450
!Sample_scan_protocol = GeneChips were scanned using the Affymetrix GeneChip Scanner 3000. Scanning parameters: pixel size: 1.56 μm, wavelength: 570 nm.
!Sample_description = gene expression profiling of 21 cell lines
!Sample_description = MDA-MB-231, replicate 3
!Sample_data_processing = Signal intensities were extracted with Affymetrix GeneChip Operating software (GCOS, version 1.4.0.036; Instrument control version: 6.0.1.002).
!Sample_data_processing = Expression values for all .CEL files were computed using MAS5.0.
!Sample_platform_id = GPL570
!Sample_contact_name = Philip,,Groth
!Sample_contact_email = philip.groth@bayer.com
!Sample_contact_laboratory = Chromatin Modulation and OncoGenomics
!Sample_contact_department = Therapeutic Research Group Oncology
!Sample_contact_institute = Bayer Pharma AG
!Sample_contact_address = Muellerstr. 178
!Sample_contact_city = Berlin
!Sample_contact_zip/postal_code = 13353
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1017nnn/GSM1017492/suppl/GSM1017492_mRNA_13c_111206.CEL.gz
!Sample_series_id = GSE41445
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = MAS5.0 signal
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	DETECTION P-VALUE
AFFX-BioB-5_at	14600.59	4.46E-04
AFFX-BioB-M_at	16369.51	4.43E-05
AFFX-BioB-3_at	13664.13	5.17E-05
AFFX-BioC-5_at	43676.20	5.17E-05
AFFX-BioC-3_at	51601.32	4.43E-05
AFFX-BioDn-5_at	86632.18	4.43E-05
AFFX-BioDn-3_at	187749.86	7.01E-05
AFFX-CreX-5_at	470048.03	5.17E-05
AFFX-CreX-3_at	550534.00	4.43E-05
AFFX-DapX-5_at	19592.00	4.43E-05
AFFX-DapX-M_at	30956.02	3.40E-04
AFFX-DapX-3_at	29966.40	5.17E-05
AFFX-LysX-5_at	1663.85	9.72E-04
AFFX-LysX-M_at	2202.41	1.03E-02
AFFX-LysX-3_at	5926.83	7.01E-05
AFFX-PheX-5_at	3455.77	5.17E-05
AFFX-PheX-M_at	4085.36	5.09E-04
AFFX-PheX-3_at	3530.66	1.47E-04
AFFX-ThrX-5_at	4000.13	8.14E-05
AFFX-ThrX-M_at	4846.27	4.43E-05
AFFX-ThrX-3_at	7542.41	7.01E-05
AFFX-TrpnX-5_at	203.31	3.14E-01
AFFX-TrpnX-M_at	96.40	8.25E-01
